Height,Width,Length,Engine-size,Bore,Stroke,Price
48.8,64.1,168.8,130,3.47,2.68,13495
48.8,64.1,168.8,130,3.47,2.68,16500
52.4,65.5,171.2,152,2.68,3.47,16500
54.3,66.2,176.6,109,3.19,3.4,13950
54.3,66.4,176.6,136,3.19,3.4,17450
53.1,66.3,177.3,136,3.19,3.4,15250
55.7,71.4,192.7,136,3.19,3.4,17710
55.9,71.4,192.7,free-size,3.13,3.4,23875
52,67.9,178.2,131,3.13,3.4,?
54.3,64.8,176.8,108,3.5,2.8,16430
54.3,64.8,176.8,108,?,2.8,16925
54.3,64.8,176.8,164,3.31,3.19,20970
54.3,2km,176.8,164,3.31,3.19,21105
55.7,66.9,189,164,3.31,3.19,24565
55.7,66.9,189,209,3.62,3.39,30760
53.2,60.3,141.1,61,2.91,3.03,5151
52,63.6,155.9,90,3.03,3.11,6295
52,63.6,158.8,90,3.03,3.11,6575
50.8,5m,157.3,90,2.97,3.23,5572
50.8,63.8,157.3,98,3.03,3.39,7957
50.6,63.8,157.3,90,2.97,3.23,6229
50.6,63.8,157.3,90,2.97,3.23,6692
50.6,63.8,157.3,90,2.97,3.23,7609
50.6,63.8,157.3,98,3.03,3.39,8558
59.8,64.6,174.6,over-size,3.34,3.46,8921
50.2,66.3,173.2,156,3.6,3.9,12964
50.8,63.9,144.6,92,2.91,3.41,6479
52.6,64,150,79,2.91,,5399
52.6,64,150,92,2.91,3.41,6529
52.6,64,150,92,2.91,3.41,7129
54.5,64,163.4,92,2.91,3.41,7295
58.3,63.9,157.1,92,2.92,3.41,7295
53.3,65.2,167.5,110,3.15,3.58,7895
53.3,65.2,167.5,110,non,3.58,9095
54.1,65.2,175.4,110,3.15,3.58,8845
54.1,62.5,175.4,110,3.15,3.58,10295
54.1,65.2,175.4,110,3.15,3.58,12945
51gram,66,169.1,110,3.15,3.58,10345
53.5,61.8,170.7,111,3.31,3.23,6785
52,63.6,155.9,90,3.03,3.11,?
52,63.6,155.9,90,3.03,3.11,?
52.8,69.6,199.6,258,3.63,4.17,32250
52.8,69.6,199.6,258,3.63,4.17,35550
47.8,70.6,191.7,326,3.54,2.76,36000
54.1,64.2,159.1,91,3.03,3.15,5195
54.1,64.2,159.1,91,3.03,3.15,6095
54.1,64.2,159.1,91,3.03,3.15,6795
54.1,64.2,166.8,91,3.03,3.15,6695
54.1,64.2,166.8,91,3.08,3.15,7395
49.6,65.7,169,70,?,?,10945
49.6,65.7,169,70,?,?,11845
49.6,65.7,169,70,?,?,13645
49.6,65.7,169,80,?,?,15645
53.7,66.5,177.8,122,3.39,3.39,8845
55.5,66.5,117m,122,3.39,3.39,8495
53.7,66.5,177.8,122,3.39,3.39,10595
55.5,66.5,177.8,122,3.39,3.39,10245
55.5,66.5,177.8,122,3.39,3.39,10795
55.5,66.5,177.8,122,3.39,3.39,11245
54.4,66.1,175,140,3.76,3.16,18280
54.4,66.1,175,134,3.43,3.64,18344
56.5,70.3,190.9,183,3.58,3.64,25552
58.7,70.3,190.9,183,3.58,3.64,28248
56.3,71.7,202.6,183,3.58,3.64,31600
56.5,71.7,202.6,234,3.46,3.1,34184
50.8,70.5,180.3,234,3.46,3.1,free
56.7,71.7,208.1,308,3.8,3.35,40960
55.4,72,199.2,304,3.8,3.35,45400
54.8,68,178.4,140,3.78,3.12,16503
50.8,64.4,157.3,92,2.97,3.23,5389
50.8,64.4,157.3,92,2.97,3.23,6189
50.8,64.4,157.3,92,2.97,3.23,6669
50.8,63.8,157.3,98,3.03,3.39,7689
49.4,65.4,173,110,3.17,3.46,9959
49.4,65.4,173,122,3.35,3.46,8499
50.2,66.3,173.2,156,3.58,3.86,12629
50.2,66.3,173.2,156,3.59,3.86,14489
51.6,65.4,172.4,122,3.35,3.46,6989
51.6,65.4,172.4,122,3.35,,8189
51.6,Null,172.4,110,3.17,3.46,9279
51.6,65.4,172.4,110,3.17,3.46,9279
54.5,63.8,165.3,97,3.15,3.29,5499
54.5,63.8,165.3,103,2.99,3.47,7099
54.5,63.8,165.3,97,3.15,3.29,6649
54.5,63.8,165.3,97,3.15,3.29,6849
53.5,63.8,170.2,97,3.15,3.29,7349
54.5,63.8,165.3,97,3.15,3.29,7299
